LibSize,x:y,y:x,pair_name,E
10,0.06427715129569776,0.01716932215277104,ssm_fpar,2
20,0.07875677281241421,0.02945067354357148,ssm_fpar,2
30,0.10112826251006077,0.031184647144066976,ssm_fpar,2
40,0.09931684964219473,0.03533298137182735,ssm_fpar,2
50,0.118175133802291,0.04196241646584672,ssm_fpar,2
60,0.11177735212753948,0.04694194096922038,ssm_fpar,2
70,0.1188996652833133,0.04647369551416866,ssm_fpar,2
80,0.12946594497656097,0.05344658441130253,ssm_fpar,2
90,0.14177484882362262,0.05658087677440706,ssm_fpar,2
100,0.14866374422775835,0.06302724824345257,ssm_fpar,2
110,0.1333025349275403,0.06903695100769233,ssm_fpar,2
120,0.14491261860322255,0.07548640385000183,ssm_fpar,2
130,0.15521612197248016,0.07495726000929957,ssm_fpar,2
140,0.14820200776531967,0.07232806255507249,ssm_fpar,2
150,0.14667953574884585,0.0763197143257644,ssm_fpar,2
10,0.0967954000479149,0.014271258091704857,ssm_fpar,3
20,0.10443313266543734,0.0308938697939436,ssm_fpar,3
30,0.13349973434394707,0.03268951320216428,ssm_fpar,3
40,0.14674731570689103,0.04443368982750132,ssm_fpar,3
50,0.16874027583637596,0.04549123649793871,ssm_fpar,3
60,0.16164214790169434,0.05194642185665546,ssm_fpar,3
70,0.17847278826174498,0.05552241711072393,ssm_fpar,3
80,0.19225968200846424,0.06078831527793374,ssm_fpar,3
90,0.20609949708147007,0.06439039159279591,ssm_fpar,3
100,0.21057124625180296,0.0732682574593152,ssm_fpar,3
110,0.20330253814381172,0.07901110815862589,ssm_fpar,3
120,0.2192054260902948,0.0859913741367917,ssm_fpar,3
130,0.23043561283531327,0.08731133967144693,ssm_fpar,3
140,0.21894340087842618,0.08497183669128358,ssm_fpar,3
150,0.22214365815513493,0.09301823624731552,ssm_fpar,3
10,0.10932157598427782,0.01647122750080173,ssm_fpar,4
20,0.12915599436412564,0.02816356626549198,ssm_fpar,4
30,0.15388952398166242,0.03347422733865453,ssm_fpar,4
40,0.1700308955515429,0.04651330162551005,ssm_fpar,4
50,0.1898052120011177,0.053975411782243965,ssm_fpar,4
60,0.19180150108825697,0.05511064819782696,ssm_fpar,4
70,0.2111133447146296,0.056959426263968604,ssm_fpar,4
80,0.2278249008729652,0.0653464615125322,ssm_fpar,4
90,0.23920707208495848,0.06803152487804834,ssm_fpar,4
100,0.24838177477988796,0.07538795979272774,ssm_fpar,4
110,0.24732750848226204,0.0811599881089185,ssm_fpar,4
120,0.2629479192414811,0.08887654026410488,ssm_fpar,4
130,0.2709230543092648,0.09046783455672085,ssm_fpar,4
140,0.26542716050544124,0.08905846972944274,ssm_fpar,4
150,0.2723483658644311,0.10062624142232744,ssm_fpar,4
10,0.12258981720109503,0.014274140355738051,ssm_fpar,5
20,0.14958614374184373,0.03274394988687574,ssm_fpar,5
30,0.17259164407931432,0.03427857192691506,ssm_fpar,5
40,0.18749682834622702,0.04806477084221807,ssm_fpar,5
50,0.20880711735674481,0.0506081118730516,ssm_fpar,5
60,0.2213708576575908,0.059336558770955214,ssm_fpar,5
70,0.22480045446383243,0.06355334840364127,ssm_fpar,5
80,0.24820339196845953,0.06782288781588544,ssm_fpar,5
90,0.26403838158372817,0.07769195983742735,ssm_fpar,5
100,0.2718241355875017,0.07901924149022117,ssm_fpar,5
110,0.27302627219439257,0.08887330101047042,ssm_fpar,5
120,0.2885676083983044,0.09572457343768866,ssm_fpar,5
130,0.2977851396253067,0.09745698703198725,ssm_fpar,5
140,0.29346408239133576,0.09573675709632701,ssm_fpar,5
150,0.302101222224108,0.10900657056737457,ssm_fpar,5
10,0.1302682857563421,0.01752641934150291,ssm_fpar,6
20,0.1544309135095309,0.03171236638882471,ssm_fpar,6
30,0.18610691709227978,0.0379653655722735,ssm_fpar,6
40,0.19084462285563186,0.04862766756897852,ssm_fpar,6
50,0.22175614531253668,0.05383012294677369,ssm_fpar,6
60,0.2354100483879202,0.061723936544373255,ssm_fpar,6
70,0.2355759072297656,0.06623655226445306,ssm_fpar,6
80,0.25786156025880635,0.07042065477432394,ssm_fpar,6
90,0.2736343604135227,0.08029804532369882,ssm_fpar,6
100,0.28043576842562046,0.08258023689774036,ssm_fpar,6
110,0.2854378689251448,0.09110333444038138,ssm_fpar,6
120,0.3015780227121129,0.09609347941478644,ssm_fpar,6
130,0.3112336274401273,0.0979881810867408,ssm_fpar,6
140,0.31005192975299134,0.09988131813716032,ssm_fpar,6
150,0.3163184664961748,0.10736550237242554,ssm_fpar,6
10,0.13322318354061083,0.01878324246441146,ssm_fpar,7
20,0.16124006670504054,0.03252862351891378,ssm_fpar,7
30,0.19130544050941908,0.03871064668559278,ssm_fpar,7
40,0.20030639328065392,0.04921818005793402,ssm_fpar,7
50,0.23054880146358084,0.05183663727843534,ssm_fpar,7
60,0.2393158811166601,0.06557174226991185,ssm_fpar,7
70,0.24115796224611621,0.06564755165966962,ssm_fpar,7
80,0.26367408112961704,0.07408981633066397,ssm_fpar,7
90,0.2794701878510548,0.07853986924867076,ssm_fpar,7
100,0.2833536269979112,0.08465718642847575,ssm_fpar,7
110,0.2873742298170866,0.09215455242504095,ssm_fpar,7
120,0.30860036527288204,0.09233076470449221,ssm_fpar,7
