LibSize,x:y,y:x
10,0.23617666437871965,0.6132067281025093
20,0.3011420618822226,0.6560358093057403
30,0.34467736519652703,0.6842072362202081
40,0.3779364364875082,0.7049901502835393
50,0.40797950705328195,0.7184573695833292
60,0.4376059214077521,0.7271021567641001
70,0.4544758276291093,0.7304560973687184
80,0.47241224792501607,0.7412471222182905
90,0.47389169381156604,0.7483025036339491
100,0.4846661553105695,0.7517990534735497
110,0.49009750842988653,0.7564293325982696
120,0.4991330095949552,0.7652431642980128
130,0.5244960645568956,0.7679191496948886
140,0.5261198603453926,0.7658066709031337
150,0.5337458601679635,0.7709964252848084
