pair_name,E,n_rows,max_libsize,forward_col,reverse_col,forward_final_rho,reverse_final_rho,asymmetry_forward_minus_reverse
ssm_ndvi,2,6460,150,x:y,x:y,0.3050858195871761,0.3050858195871761,0.0
ssm_ndvi,3,6460,150,x:y,x:y,0.3838578741048094,0.3838578741048094,0.0
ssm_ndvi,4,6460,150,x:y,x:y,0.4270149588222665,0.4270149588222665,0.0
ssm_ndvi,5,6460,150,x:y,x:y,0.4523934801281209,0.4523934801281209,0.0
ssm_ndvi,6,6460,150,x:y,x:y,0.4645211018345649,0.4645211018345649,0.0
ssm_ndvi,7,6460,150,x:y,x:y,0.4687869143851413,0.4687869143851413,0.0
ssm_ndvi,8,6460,150,x:y,x:y,0.47250844302310563,0.47250844302310563,0.0
ssm_fpar,2,6460,150,x:y,x:y,0.14667953574884585,0.14667953574884585,0.0
ssm_fpar,3,6460,150,x:y,x:y,0.22214365815513493,0.22214365815513493,0.0
ssm_fpar,4,6460,150,x:y,x:y,0.2723483658644311,0.2723483658644311,0.0
ssm_fpar,5,6460,150,x:y,x:y,0.302101222224108,0.302101222224108,0.0
ssm_fpar,6,6460,150,x:y,x:y,0.3163184664961748,0.3163184664961748,0.0
ssm_fpar,7,6460,150,x:y,x:y,0.3220385319961916,0.3220385319961916,0.0
ssm_fpar,8,6460,150,x:y,x:y,0.3274741475030501,0.3274741475030501,0.0
ssm_yield,2,6460,150,x:y,x:y,0.3143343114738714,0.3143343114738714,0.0
ssm_yield,3,6460,150,x:y,x:y,0.38413389498852557,0.38413389498852557,0.0
ssm_yield,4,6460,150,x:y,x:y,0.4416346804151571,0.4416346804151571,0.0
ssm_yield,5,6460,150,x:y,x:y,0.46503814014307776,0.46503814014307776,0.0
ssm_yield,6,6460,150,x:y,x:y,0.4883942848526508,0.4883942848526508,0.0
ssm_yield,7,6460,150,x:y,x:y,0.5011349466701343,0.5011349466701343,0.0
ssm_yield,8,6460,150,x:y,x:y,0.5127510551118427,0.5127510551118427,0.0
