LibSize,x:y,y:x
10,0.17960560498023653,0.08291052094289221
20,0.2330705251799889,0.13098782153779628
30,0.2938153105436357,0.15328373996581018
40,0.32314560038886475,0.1832676289616086
50,0.3462736359921356,0.20008713643615228
60,0.36973494909907123,0.2153093059542026
70,0.3806249306022942,0.22195966066152717
80,0.3948662427780747,0.23729860098671743
90,0.4077852569251577,0.24105974955096815
100,0.42047995923346576,0.2536206939843391
110,0.430260131970766,0.270409810289638
120,0.43613646516865223,0.26504912763909433
130,0.44587419234292996,0.26648810317058275
140,0.44294844637993563,0.27750661597249754
150,0.4523934801281209,0.2835145361346868
