LibSize,x:y,y:x
10,0.36773293622390363,0.4191045704095305
20,0.5115560116273113,0.6183531055186645
30,0.6001017199577415,0.7472951031019954
40,0.6503428673190786,0.7992615953317351
50,0.6804337888909692,0.8320407971508946
60,0.6994432085206995,0.8328076863035746
70,0.7063015793382807,0.8438535922040612
80,0.7153043971619177,0.8487504613627492
90,0.7198987203627781,0.8498469870182553
100,0.7201097872039429,0.8531922933125236
110,0.727916304947299,0.8539702836730005
120,0.7295957133224367,0.8561389865034612
130,0.7322864962572453,0.858519794744917
140,0.736205153820538,0.8587189589925365
150,0.7402446312170387,0.8591310836867944
