LibSize,x:y,y:x
10,0.3322731402565946,0.35000347115599484
20,0.3544763335752957,0.37692036581053406
30,0.39063621245319297,0.39856148753072673
40,0.40578941289715353,0.41615555818325123
50,0.4110077962732354,0.41382614388046507
60,0.4167457071334381,0.4095593752888
70,0.41890541541609705,0.4194963184475394
80,0.4246003770439119,0.4132543629270887
90,0.43753503877895983,0.4242915542102008
100,0.4442265738527131,0.41908935815563664
110,0.4452475914748612,0.4200947697816023
120,0.4520354193474907,0.422199475644376
130,0.45989200742573944,0.429446652076236
140,0.4583579103083293,0.4263254668115363
150,0.46503814014307776,0.4284756172338632
