LibSize,x:y,y:x
10,0.4135856108129903,0.48618021806637374
20,0.5183882838142695,0.6416504153117368
30,0.6197092810705759,0.780494192916562
40,0.6629677644366506,0.815547334810764
50,0.6831081545715401,0.831180666372361
60,0.7054570729175071,0.8421935893768336
70,0.7089907330493074,0.8454728802878254
80,0.7159999735482998,0.8500693049604106
90,0.7188403229265908,0.8512542623185998
100,0.7191409673619367,0.8536970150664622
110,0.7266016563276301,0.8556924195672141
120,0.7301180053436588,0.855429688132396
130,0.7319688162022422,0.8583921249634449
140,0.7343647029207547,0.8584157209641721
150,0.7401387703608744,0.8598099059094669
