LibSize,x:y,y:x,pair_name,E
10,0.23260503929086218,0.2699565238834714,ssm_yield,2
20,0.26748454825036894,0.30263647284882583,ssm_yield,2
30,0.3010906854643814,0.31318935510764034,ssm_yield,2
40,0.30990855764426595,0.31850002032030234,ssm_yield,2
50,0.29186248052971187,0.3104220634848729,ssm_yield,2
60,0.29026660415850947,0.3049100792140419,ssm_yield,2
70,0.30080072786467954,0.30880612351487075,ssm_yield,2
80,0.31019737514987783,0.3073378740518168,ssm_yield,2
90,0.30792669178036525,0.3137735121763199,ssm_yield,2
100,0.3198071766250491,0.30946651262539193,ssm_yield,2
110,0.29971855657311297,0.3100299439078793,ssm_yield,2
120,0.3153383758465969,0.3048359987075935,ssm_yield,2
130,0.31668560212272817,0.3132614282760744,ssm_yield,2
140,0.32201205450903325,0.3136510671544053,ssm_yield,2
150,0.31865431630937513,0.3096320282692922,ssm_yield,2
10,0.2738668616846324,0.32113208118426806,ssm_yield,3
20,0.3099439652151897,0.3347815593358737,ssm_yield,3
30,0.34347532943391373,0.3489270036995492,ssm_yield,3
40,0.3709266251933816,0.3628600904618541,ssm_yield,3
50,0.3533778953297769,0.3571621131253641,ssm_yield,3
60,0.35254347856181056,0.3494004321841722,ssm_yield,3
70,0.36350206069265417,0.36016335056886517,ssm_yield,3
80,0.3650997108710003,0.34971054717555566,ssm_yield,3
90,0.3691012997893275,0.3558225282465841,ssm_yield,3
100,0.38337224851326485,0.34974182706406365,ssm_yield,3
110,0.37214314975526086,0.35304861150559724,ssm_yield,3
120,0.38602242730012776,0.35482006631012764,ssm_yield,3
130,0.3859797116447736,0.35573913882197716,ssm_yield,3
140,0.3909345718964808,0.35787279276235606,ssm_yield,3
150,0.39115465961671403,0.3553019285617461,ssm_yield,3
10,0.28648003652026527,0.33377330556023854,ssm_yield,4
20,0.34315484545263897,0.35702133113731416,ssm_yield,4
30,0.3752806782510276,0.38580075656962437,ssm_yield,4
40,0.38680652140355126,0.38829283811629844,ssm_yield,4
50,0.3892175742094952,0.38425166339685274,ssm_yield,4
60,0.39529777159179746,0.3831432933302321,ssm_yield,4
70,0.39593719470747685,0.3969492264901095,ssm_yield,4
80,0.4000513787287065,0.38164670505437515,ssm_yield,4
90,0.4100407525162308,0.390767189615464,ssm_yield,4
100,0.42513812712514054,0.38536450513461673,ssm_yield,4
110,0.41809983693015906,0.3878991442617275,ssm_yield,4
120,0.43006996887749926,0.3907495459359553,ssm_yield,4
130,0.43123392540968064,0.3978386192414876,ssm_yield,4
140,0.4360245464955056,0.3918165420395182,ssm_yield,4
