LibSize,x:y,y:x
10,0.22346631486625504,0.5986649796519776
20,0.2993346313935013,0.6601975863654226
30,0.3322845949028595,0.6821906538306902
40,0.362863523458957,0.7071400276414654
50,0.4000623638161682,0.7218997273132949
60,0.4409023472063734,0.7310077371267151
70,0.45080855449470436,0.7330620627678113
80,0.4621000562358813,0.7414282921458686
90,0.47141894177324306,0.7464758150996027
100,0.482523081382964,0.7540531462238999
110,0.4913459801039544,0.7552932035853359
120,0.5064039214329753,0.7647278542076857
130,0.5341640821166072,0.7668710386056807
140,0.5263453201661765,0.7609669362031523
150,0.5293799464936855,0.7688956763529009
