pair_name,E,n_rows,max_libsize,forward_col,reverse_col,forward_final_rho,reverse_final_rho,asymmetry_forward_minus_reverse
ssm_ndvi,2,6460,150,x:y,x:y,0.3027554106363206,0.3027554106363206,0.0
ssm_ndvi,3,6460,150,x:y,x:y,0.38128187981693246,0.38128187981693246,0.0
ssm_ndvi,4,6460,150,x:y,x:y,0.426231428170263,0.426231428170263,0.0
ssm_ndvi,5,6460,150,x:y,x:y,0.4522480254827998,0.4522480254827998,0.0
ssm_ndvi,6,6460,150,x:y,x:y,0.46385824319139607,0.46385824319139607,0.0
ssm_ndvi,7,6460,150,x:y,x:y,0.4703022153409021,0.4703022153409021,0.0
ssm_ndvi,8,6460,150,x:y,x:y,0.47402073550838053,0.47402073550838053,0.0
ssm_fpar,2,6460,150,x:y,x:y,0.15306868340344898,0.15306868340344898,0.0
ssm_fpar,3,6460,150,x:y,x:y,0.2270242591338647,0.2270242591338647,0.0
ssm_fpar,4,6460,150,x:y,x:y,0.2766811589702832,0.2766811589702832,0.0
ssm_fpar,5,6460,150,x:y,x:y,0.30824634482834967,0.30824634482834967,0.0
ssm_fpar,6,6460,150,x:y,x:y,0.3184725820028628,0.3184725820028628,0.0
ssm_fpar,7,6460,150,x:y,x:y,0.3263600846615459,0.3263600846615459,0.0
ssm_fpar,8,6460,150,x:y,x:y,0.3313192441835623,0.3313192441835623,0.0
ssm_yield,2,6460,150,x:y,x:y,0.31865431630937513,0.31865431630937513,0.0
ssm_yield,3,6460,150,x:y,x:y,0.39115465961671403,0.39115465961671403,0.0
ssm_yield,4,6460,150,x:y,x:y,0.44446825326254696,0.44446825326254696,0.0
ssm_yield,5,6460,150,x:y,x:y,0.46769212508630176,0.46769212508630176,0.0
ssm_yield,6,6460,150,x:y,x:y,0.48895043815133626,0.48895043815133626,0.0
ssm_yield,7,6460,150,x:y,x:y,0.5023221323075533,0.5023221323075533,0.0
ssm_yield,8,6460,150,x:y,x:y,0.5140121137435171,0.5140121137435171,0.0
