LibSize,x:y,y:x
10,0.30918355664260155,0.3353271771790005
20,0.3555700281848902,0.3785801436507213
30,0.3929088725340153,0.403297847213043
40,0.4138589947654944,0.4101825746550151
50,0.4091043196869738,0.4119153056334755
60,0.41841343876309794,0.40874800622708124
70,0.4191764551213929,0.4299916888472171
80,0.4253714305008573,0.40862048848656224
90,0.4379897294886698,0.4217264267735053
100,0.44672932379230235,0.41753412902074993
110,0.44188559951632955,0.4196055532768305
120,0.4503631357263586,0.42004623812812625
130,0.45866323092099043,0.42640943844886037
140,0.4603855363224655,0.42376672024762213
150,0.46769212508630176,0.4270441690521414
