LibSize,x:y,y:x
10,0.1994548087660489,0.10029380244455055
20,0.22730573443015625,0.14887930708263977
30,0.2957372984956295,0.15202573728887606
40,0.3311092268547073,0.19244974965025852
50,0.34602854546008344,0.1915748068748689
60,0.3778149294433593,0.22444881477090992
70,0.3829069127284849,0.2195523495250156
80,0.4060259989770735,0.24204216366290104
90,0.409227691789965,0.24341648440464034
100,0.4177839898705457,0.250689632408762
110,0.42885556904670485,0.27540776295460606
120,0.4333091179363009,0.25826187998810846
130,0.4460956502485851,0.2708492601102848
140,0.438082124566769,0.26843590127164624
150,0.4522480254827998,0.2819682197159818
