pair_name,E,direction,LibSize,mean_rho,median_rho,std_rho,n_units,n_rows
avg_ssm_avg_fpar,2,avg_cwb_z:avg_tavg_z,10,,,,428,0
avg_ssm_avg_fpar,2,avg_fpar_z:avg_rsm_z,10,,,,428,0
avg_ssm_avg_fpar,2,avg_fpar_z:avg_ssm_z,10,0.06348486441345304,0.02546701416739637,0.3873021104715139,428,428
avg_ssm_avg_fpar,2,avg_ndvi_z:avg_rsm_z,10,,,,428,0
avg_ssm_avg_fpar,2,avg_ndvi_z:avg_ssm_z,10,,,,428,0
avg_ssm_avg_fpar,2,avg_prec_z:yield_z,10,,,,428,0
avg_ssm_avg_fpar,2,avg_rsm_z:avg_fpar_z,10,,,,428,0
avg_ssm_avg_fpar,2,avg_rsm_z:avg_ndvi_z,10,,,,428,0
avg_ssm_avg_fpar,2,avg_rsm_z:yield_z,10,,,,428,0
avg_ssm_avg_fpar,2,avg_ssm_z:avg_fpar_z,10,0.05363773488491894,0.0667027794257565,0.36593769451437647,428,428
avg_ssm_avg_fpar,2,avg_ssm_z:avg_ndvi_z,10,,,,428,0
avg_ssm_avg_fpar,2,avg_ssm_z:yield_z,10,,,,428,0
avg_ssm_avg_fpar,2,avg_tavg_z:avg_cwb_z,10,,,,428,0
avg_ssm_avg_fpar,2,yield_z:avg_prec_z,10,,,,428,0
avg_ssm_avg_fpar,2,yield_z:avg_rsm_z,10,,,,428,0
avg_ssm_avg_fpar,2,yield_z:avg_ssm_z,10,,,,428,0
avg_ssm_avg_ndvi,2,avg_cwb_z:avg_tavg_z,10,,,,428,0
avg_ssm_avg_ndvi,2,avg_fpar_z:avg_rsm_z,10,,,,428,0
avg_ssm_avg_ndvi,2,avg_fpar_z:avg_ssm_z,10,,,,428,0
avg_ssm_avg_ndvi,2,avg_ndvi_z:avg_rsm_z,10,,,,428,0
avg_ssm_avg_ndvi,2,avg_ndvi_z:avg_ssm_z,10,0.03453930866178813,0.031673825809688194,0.37594686250030723,428,428
avg_ssm_avg_ndvi,2,avg_prec_z:yield_z,10,,,,428,0
avg_ssm_avg_ndvi,2,avg_rsm_z:avg_fpar_z,10,,,,428,0
avg_ssm_avg_ndvi,2,avg_rsm_z:avg_ndvi_z,10,,,,428,0
avg_ssm_avg_ndvi,2,avg_rsm_z:yield_z,10,,,,428,0
avg_ssm_avg_ndvi,2,avg_ssm_z:avg_fpar_z,10,,,,428,0
avg_ssm_avg_ndvi,2,avg_ssm_z:avg_ndvi_z,10,-0.004488962384678697,-0.007195887487096385,0.34192137548060414,428,428
avg_ssm_avg_ndvi,2,avg_ssm_z:yield_z,10,,,,428,0
avg_ssm_avg_ndvi,2,avg_tavg_z:avg_cwb_z,10,,,,428,0
avg_ssm_avg_ndvi,2,yield_z:avg_prec_z,10,,,,428,0
avg_ssm_avg_ndvi,2,yield_z:avg_rsm_z,10,,,,428,0
avg_ssm_avg_ndvi,2,yield_z:avg_ssm_z,10,,,,428,0
avg_ssm_yield,2,avg_cwb_z:avg_tavg_z,10,,,,428,0
avg_ssm_yield,2,avg_fpar_z:avg_rsm_z,10,,,,428,0
avg_ssm_yield,2,avg_fpar_z:avg_ssm_z,10,,,,428,0
avg_ssm_yield,2,avg_ndvi_z:avg_rsm_z,10,,,,428,0
avg_ssm_yield,2,avg_ndvi_z:avg_ssm_z,10,,,,428,0
avg_ssm_yield,2,avg_prec_z:yield_z,10,,,,428,0
avg_ssm_yield,2,avg_rsm_z:avg_fpar_z,10,,,,428,0
avg_ssm_yield,2,avg_rsm_z:avg_ndvi_z,10,,,,428,0
avg_ssm_yield,2,avg_rsm_z:yield_z,10,,,,428,0
avg_ssm_yield,2,avg_ssm_z:avg_fpar_z,10,,,,428,0
avg_ssm_yield,2,avg_ssm_z:avg_ndvi_z,10,,,,428,0
avg_ssm_yield,2,avg_ssm_z:yield_z,10,0.06815688069701926,0.07588008931394777,0.3576615077810054,428,428
avg_ssm_yield,2,avg_tavg_z:avg_cwb_z,10,,,,428,0
avg_ssm_yield,2,yield_z:avg_prec_z,10,,,,428,0
avg_ssm_yield,2,yield_z:avg_rsm_z,10,,,,428,0
avg_ssm_yield,2,yield_z:avg_ssm_z,10,-0.020810411966413134,-0.06378079056992329,0.3438849020766186,428,428
avg_tavg_avg_cwb,2,avg_cwb_z:avg_tavg_z,14,0.07971421326206438,0.10215164440019434,0.31616811523112776,405,405
avg_tavg_avg_cwb,2,avg_fpar_z:avg_rsm_z,14,,,,405,0
avg_tavg_avg_cwb,2,avg_fpar_z:avg_ssm_z,14,,,,405,0
avg_tavg_avg_cwb,2,avg_ndvi_z:avg_rsm_z,14,,,,405,0
avg_tavg_avg_cwb,2,avg_ndvi_z:avg_ssm_z,14,,,,405,0
avg_tavg_avg_cwb,2,avg_prec_z:yield_z,14,,,,405,0
avg_tavg_avg_cwb,2,avg_rsm_z:avg_fpar_z,14,,,,405,0
avg_tavg_avg_cwb,2,avg_rsm_z:avg_ndvi_z,14,,,,405,0
avg_tavg_avg_cwb,2,avg_rsm_z:yield_z,14,,,,405,0
avg_tavg_avg_cwb,2,avg_ssm_z:avg_fpar_z,14,,,,405,0
avg_tavg_avg_cwb,2,avg_ssm_z:avg_ndvi_z,14,,,,405,0
avg_tavg_avg_cwb,2,avg_ssm_z:yield_z,14,,,,405,0
avg_tavg_avg_cwb,2,avg_tavg_z:avg_cwb_z,14,0.20047070189297803,0.25190750597556666,0.3147998758746537,405,405
avg_tavg_avg_cwb,2,yield_z:avg_prec_z,14,,,,405,0
avg_tavg_avg_cwb,2,yield_z:avg_rsm_z,14,,,,405,0
avg_tavg_avg_cwb,2,yield_z:avg_ssm_z,14,,,,405,0
